Id,Name,Kind,Area,Adress,Lat,Long
1,개님살롱,호텔,1,서울 용산구 원효로90길 11 용산더프라임 103동 109호,37.540163,126.970077
2,씨유펫 후암점,용품,1,서울 용산구 두텁바위로 9-1 제 1호 1층 (갈월동),37.545425,126.973236
3,동물보육원 용산지부,행정,1,서울 용산구 청파로85가길 48,37.552463,126.966056
4,올라펫,용품,1,서울 용산구 한강대로 366 8층,37.55055999,126.972761
5,엠펫애견미용실,미용,1,서울 용산구 후암로23길 31,37.54904482,126.9762611
6,펫탄,용품,1,서울 용산구 후암로4길 7 지층,37.54682882,126.9786693
7,더제이컴퍼니,용품,1,서울 용산구 소월로20길 30-1 1층(용산동2가),37.54514495,126.9852074
8,몽글펫,미용,1,서울 용산구 소월로20길 64,37.54394199,126.9842487
9,펫그라운드,호텔,1,서울 용산구 신흥로 55 지하,37.54343557,126.9875331
10,엘슈슈,미용,1,서울 용산구 신흥로 63-1 1층,37.54342882,126.9875586
11,소월집,미용,1,서울 용산구 소월로44길 41,37.54111819,126.9927583
12,독클래스,훈련,1,서울 용산구 회나무로42길 4 독클래스,37.54074217,126.9957964
13,올리스24,호텔,1,서울 용산구 회나무로26길 18,37.53938365,126.9910584
14,도미네로,미용,1,서울 용산구 녹사평대로46길 21,37.53725702,126.9880235
15,아워모먼츠,용품,1,서울 용산구 이태원로54가길 16,37.53702786,127.001519
16,트리밍807,미용,1,서울 용산구 한남대로 91 나인원한남 고메494 지하1층,37.53651196,127.0044862
17,하운드팟,용품,1,서울 용산구 한남대로 91 고메이494 한남 B2F,37.53651196,127.0044862
18,하울팟케어클럽 한남점,유치원,1,서울 용산구 독서당로 113,37.53660833,127.0116285
19,하울팟,용품,1,서울 용산구 독서당로 113 1층,37.53660833,127.0116285
20,펫토이동물병원,병원,1,서울 용산구 대사관로 32,37.53351846,127.0017424
21,아이조아요양보호소 서울점,보호소,1,서울 용산구 녹사평대로32길 28 3층,37.53347077,126.9902445
22,베럴라이프,미용,1,서울 용산구 이태원로 143-7 2층,37.53448659,126.9895429
23,멍멍샵,미용,1,서울 용산구 보광로 93 2층,37.53129965,126.9950361
24,씨유펫 용산이태원점,용품,1,서울 용산구 보광로 29 1층 2호,37.52688935,127.000017
25,강아지고양이편의점 이촌점,용품,1,서울 용산구 이촌로 192,37.52113451,126.9685211
26,쿠이다르,토탈케어,1,서울 용산구 서빙고로 67 파크타워 상가 14호,37.52400258,126.9709549
27,엘리티레아,호텔,1,서울 용산구 한강대로 26 한강대우트럼프월드3차,37.52337866,126.962994
28,다줄,미용,1,서울 용산구 서빙고로 17 102동 2층 98호,37.52518434,126.9678774
29,포동,훈련,1,서울 용산구 한강대로15길 23-6,37.52608611,126.9628117
30,딩동 용산지점,택시,1,서울 용산구 원효로19길 20 3층 301호,37.53297076,126.9529736
31,루피네,호텔,1,서울 용산구 새창로 144-1 4층 루피네,37.53471514,126.9618429
32,프리독스,유치원,1,서울 용산구 원효로 189-3 2층,37.5365762,126.9633807
33,엠코코,미용,1,서울 용산구 효창원로54길 22 1층 102호,37.53738418,126.9612984
34,반려동물용품백화점,용품,1,서울 용산구 새창로14길 48,37.53737517,126.9613041
35,도기캠프,훈련,1,"서울 용산구 백범로 313 롯데캐슬상가 B2층 203,204호 도기캠프",37.53886265,126.9639057
36,동물행동심리연구소 폴랑폴랑,훈련,1,서울 용산구 백범로 329,37.53872809,126.9659481
37,몽스빌리지,미용,1,서울 용산구 새창로12길 4 2층,37.53938325,126.9579397
38,위닝푸드,간식,1,서울 용산구 원효로89길 13-9 1층 101호,37.54038652,126.968001
